"x" "y" "z"
"1" 90.77212 51.75918 1
"2" 16.11536 28.95312 1
"3" 31.1235 35.50002 1
"4" 39.79581 32.69104 1
"5" 48.82297 40.50366 1
"6" 78.17519 56.5843 1
"7" 29.97319 31.87137 1
"8" 61.66741 46.30729 1
"9" 55.47211 44.09255 1
"10" 8.93557 30.02324 1
"11" 73.36877 46.05974 1
"12" 60.94679 42.96545 1
"13" 30.12837 41.13832 1
"14" 63.49312 41.89534 1
"15" 69.4257 45.94758 1
"16" 33.65231 30.78103 1
"17" 60.49952 45.73121 1
"18" 89.56325 47.64866 1
"19" 37.79412 36.71042 1
"20" 55.99477 41.87292 1
"21" 0.1413198 26.84904 1
"22" 71.25819 49.54433 1
"23" 1.223218 27.91121 1
"24" 81.51914 45.5246 1
"25" 3.874102 23.16908 1
"26" 73.32387 49.9086 1
"27" 45.66414 40.22269 1
"28" 67.81447 45.13829 1
"29" 93.4453 56.401 1
"30" 3.16926 24.71206 1
"31" 46.40063 42.71837 1
"32" 34.40727 29.83873 1
"33" 4.860776 21.22408 1
"34" 52.615 39.12579 1
"35" 13.86071 30.9851 1
"36" 89.67519 50.49969 1
"37" 55.02998 40.27002 1
"38" 21.1138 31.83822 1
"39" 44.26442 38.66342 1
"40" 58.57412 43.15105 1
"41" 95.0795 50.40798 1
"42" 9.10939 26.93371 1
"43" 88.94967 52.68181 1
"44" 13.98662 29.29317 1
"45" 64.55277 44.046 1
"46" 42.33967 34.63249 1
"47" 50.44069 31.79641 1
"48" 66.32086 43.8787 1
"49" 78.7988 44.83925 1
"50" 33.02075 38.10411 1
"51" 32.8913 42.3402 1
"52" 83.16962 50.23783 1
"53" 61.49388 42.05323 1
"54" 6.272553 23.43612 1
"55" 58.0733 41.85744 1
"56" 47.57547 36.55812 1
"57" 26.70958 32.7664 1
"58" 96.97189 55.61026 1
"59" 52.713 32.01379 1
"60" 20.33603 24.97123 1
"61" 19.89503 26.94684 1
"62" 72.7339 40.16191 1
"63" 71.71202 44.47413 1
"64" 18.63857 31.49162 1
"65" 44.52088 34.67134 1
"66" 15.52144 31.82309 1
"67" 25.4598 31.24872 1
"68" 69.33804 49.22922 1
"69" 85.16207 51.44065 1
"70" 6.033774 24.55949 1
"71" 66.86249 43.54302 1
"72" 42.90409 35.93361 1
"73" 72.42627 45.07223 1
"74" 45.17913 34.16737 1
"75" 57.16254 44.17104 1
"76" 56.66865 44.34583 1
"77" 19.17482 28.42308 1
"78" 67.31819 47.46691 1
"79" 92.94657 54.34426 1
"80" 38.05714 37.62358 1
"81" 8.076713 34.5121 1
"82" 2.628109 26.51137 1
"83" 83.2709 46.1902 1
"84" 77.27084 48.24958 1
"85" 69.77994 46.26103 1
"86" 41.11539 39.87661 1
"87" 78.09971 48.07093 1
"88" 2.263955 33.63378 1
"89" 93.4694 57.82997 1
"90" 82.34963 48.70141 1
"91" 2.576484 23.75314 1
"92" 73.86135 46.39165 1
"93" 25.76554 29.80529 1
"94" 97.67732 57.2381 1
"95" 57.83722 45.1488 1
"96" 4.443484 24.45441 1
"97" 93.94787 53.29426 1
"98" 47.41257 40.03944 1
"99" 80.14195 47.81423 1
"100" 50.54338 41.71411 1
"101" 6.35424 26.93594 1
"102" 11.76942 33.52973 1
"103" 81.1503 55.8817 1
"104" 58.01215 43.53502 1
"105" 62.67445 48.56582 1
"106" 94.29133 51.87432 1
"107" 45.16976 39.88304 1
"108" 80.90371 53.92917 1
"109" 13.74151 28.42013 1
"110" 33.42162 34.34907 1
"111" 34.62778 34.38359 1
"112" 76.88236 48.33128 1
"113" 10.79456 24.12299 1
"114" 95.60855 51.20933 1
"115" 69.73568 51.42456 1
"116" 94.33734 49.79154 1
"117" 13.50388 27.05863 1
"118" 27.70459 32.88198 1
"119" 84.52742 46.62424 1
"120" 86.37302 48.00829 1
"121" 57.35431 43.84481 1
"122" 46.75617 40.58739 1
"123" 1.379824 28.31825 1
"124" 90.49764 58.72105 1
"125" 72.19773 43.85352 1
"126" 16.76677 28.27018 1
"127" 75.93843 45.92699 1
"128" 1.819939 23.00658 1
"129" 8.022969 28.1655 1
"130" 42.93163 32.68443 1
"131" 93.25565 53.18326 1
"132" 39.83588 38.57357 1
"133" 26.59674 28.35451 1
"134" 37.29753 38.45196 1
"135" 47.52046 36.87566 1
"136" 75.1744 49.62016 1
"137" 0.2596583 26.45004 1
"138" 99.78076 54.94169 1
"139" 91.91183 56.61093 1
"140" 94.28425 54.82494 1
"141" 57.24339 43.06431 1
"142" 79.55355 44.47037 1
"143" 21.98353 26.9668 1
"144" 90.73267 50.99645 1
"145" 0.8269232 23.94448 1
"146" 20.07521 36.78514 1
"147" 3.085331 23.20261 1
"148" 1.640238 29.24154 1
"149" 86.41892 48.29227 1
"150" 4.090842 26.44928 1
"151" 73.14632 41.92012 1
"152" 35.69761 36.06232 1
"153" 26.79294 28.37727 1
"154" 34.33314 30.54773 1
"155" 21.35976 28.63378 1
"156" 71.27702 55.49952 1
"157" 98.247 52.58674 1
"158" 69.61504 48.45984 1
"159" 94.51118 55.66456 1
"160" 87.91199 53.79432 1
"161" 8.554812 34.18967 1
"162" 31.94292 32.06259 1
"163" 28.86104 39.41378 1
"164" 69.44575 50.99077 1
"165" 34.72403 34.0659 1
"166" 33.83673 32.47591 1
"167" 26.67848 31.69139 1
"168" 92.48548 53.9745 1
"169" 37.57963 36.35658 1
"170" 34.73635 36.45029 1
"171" 63.43339 39.15678 1
"172" 72.98123 45.19347 1
"173" 0.7966615 27.1918 1
"174" 62.91113 36.55756 1
"175" 49.27984 40.6798 1
"176" 89.67982 50.21369 1
"177" 2.339266 28.48216 1
"178" 62.8877 39.66642 1
"179" 74.30772 47.39453 1
"180" 95.05759 54.52471 1
"181" 22.58763 32.85686 1
"182" 25.1262 33.36349 1
"183" 94.1664 55.63503 1
"184" 98.3644 55.86413 1
"185" 84.1042 53.2746 1
"186" 59.7063 40.01256 1
"187" 19.66474 31.42045 1
"188" 52.99597 35.85099 1
"189" 27.1129 31.58384 1
"190" 17.36868 32.86745 1
"191" 67.40848 41.79986 1
"192" 26.14429 24.96309 1
"193" 18.37156 27.18373 1
"194" 29.84677 37.16578 1
"195" 86.01044 55.52468 1
"196" 33.54098 33.76612 1
"197" 32.65353 35.78712 1
"198" 54.17066 42.55848 1
"199" 31.76129 40.57794 1
"200" 98.12208 56.83628 1
"201" 71.62579 48.55815 1
"202" 32.29905 38.04823 1
"203" 29.06927 35.2395 1
"204" 28.15984 29.40033 1
"205" 92.69007 52.28714 1
"206" 9.365453 26.58427 1
"207" 35.36695 35.98481 1
