burnout	loc	cope	teaching	research	pastoral
NotBurntOut	7.647058824	9.160305344	32.72727273	87.5	31.48148148
NotBurntOut	6.470588235	12.97709924	52.72727273	66.66666667	68.51851852
NotBurntOut	8.823529412	9.160305344	49.09090909	60.41666667	53.7037037
NotBurntOut	20	9.160305344	52.72727273	62.5	50
NotBurntOut	6.470588235	19.08396947	43.63636364	79.16666667	40.74074074
NotBurntOut	7.058823529	16.03053435	38.18181818	52.08333333	48.14814815
NotBurntOut	8.235294118	16.79389313	16.36363636	58.33333333	37.03703704
NotBurntOut	13.52941176	7.633587786	43.63636364	70.83333333	35.18518519
NotBurntOut	8.823529412	9.160305344	41.81818182	81.25	46.2962963
NotBurntOut	7.058823529	13.74045802	56.36363636	77.08333333	62.96296296
NotBurntOut	12.35294118	12.21374046	58.18181818	81.25	48.14814815
NotBurntOut	12.35294118	14.50381679	40	39.58333333	53.7037037
NotBurntOut	7.058823529	35.11450382	63.63636364	64.58333333	61.11111111
NotBurntOut	9.411764706	9.923664122	36.36363636	41.66666667	37.03703704
NotBurntOut	11.76470588	19.84732824	67.27272727	60.41666667	70.37037037
NotBurntOut	14.11764706	9.923664122	49.09090909	79.16666667	33.33333333
NotBurntOut	24.70588235	6.870229008	40	95.83333333	24.07407407
NotBurntOut	11.17647059	9.160305344	45.45454545	79.16666667	48.14814815
NotBurntOut	8.235294118	9.923664122	32.72727273	79.16666667	62.96296296
NotBurntOut	17.64705882	11.45038168	60	39.58333333	77.77777778
NotBurntOut	6.470588235	12.21374046	50.90909091	70.83333333	48.14814815
NotBurntOut	16.47058824	7.633587786	58.18181818	81.25	44.44444444
NotBurntOut	19.41176471	11.45038168	58.18181818	77.08333333	48.14814815
NotBurntOut	9.411764706	19.08396947	56.36363636	72.91666667	61.11111111
NotBurntOut	10	24.42748092	43.63636364	39.58333333	40.74074074
NotBurntOut	10.58823529	15.26717557	58.18181818	77.08333333	53.7037037
NotBurntOut	10.58823529	10.6870229	41.81818182	56.25	42.59259259
NotBurntOut	6.470588235	32.82442748	50.90909091	75	51.85185185
NotBurntOut	12.35294118	10.6870229	49.09090909	56.25	18.51851852
NotBurntOut	6.470588235	12.97709924	25.45454545	62.5	57.40740741
NotBurntOut	8.235294118	35.11450382	63.63636364	77.08333333	46.2962963
NotBurntOut	7.058823529	15.26717557	40	56.25	40.74074074
NotBurntOut	20	10.6870229	69.09090909	85.41666667	59.25925926
NotBurntOut	11.17647059	16.79389313	49.09090909	77.08333333	64.81481481
NotBurntOut	7.058823529	12.97709924	49.09090909	50	72.22222222
NotBurntOut	12.35294118	21.3740458	56.36363636	54.16666667	64.81481481
NotBurntOut	25.88235294	6.870229008	52.72727273	68.75	44.44444444
NotBurntOut	31.17647059	4.580152672	49.09090909	75	42.59259259
NotBurntOut	9.411764706	9.923664122	41.81818182	39.58333333	37.03703704
NotBurntOut	8.235294118	9.923664122	47.27272727	31.25	85.18518519
NotBurntOut	8.235294118	50.38167939	81.81818182	50	88.88888889
NotBurntOut	37.64705882	5.34351145	72.72727273	29.16666667	48.14814815
NotBurntOut	14.11764706	8.396946565	47.27272727	45.83333333	46.2962963
NotBurntOut	12.94117647	13.74045802	45.45454545	58.33333333	37.03703704
NotBurntOut	7.058823529	37.40458015	67.27272727	41.66666667	74.07407407
NotBurntOut	6.470588235	11.45038168	47.27272727	75	44.44444444
NotBurntOut	17.05882353	11.45038168	63.63636364	56.25	68.51851852
NotBurntOut	7.058823529	23.66412214	60	75	50
NotBurntOut	8.823529412	10.6870229	60	62.5	61.11111111
NotBurntOut	9.411764706	21.3740458	58.18181818	64.58333333	75.92592593
NotBurntOut	6.470588235	45.80152672	63.63636364	66.66666667	48.14814815
NotBurntOut	10	45.03816794	78.18181818	54.16666667	53.7037037
NotBurntOut	32.94117647	4.580152672	40	60.41666667	37.03703704
NotBurntOut	8.823529412	12.21374046	54.54545455	43.75	68.51851852
NotBurntOut	6.470588235	10.6870229	27.27272727	56.25	31.48148148
NotBurntOut	8.235294118	9.923664122	38.18181818	56.25	37.03703704
NotBurntOut	11.76470588	16.03053435	38.18181818	39.58333333	57.40740741
NotBurntOut	6.470588235	15.26717557	47.27272727	95.83333333	48.14814815
NotBurntOut	14.11764706	21.3740458	50.90909091	68.75	75.92592593
NotBurntOut	31.17647059	5.34351145	69.09090909	41.66666667	53.7037037
NotBurntOut	8.235294118	11.45038168	40	62.5	50
NotBurntOut	14.70588235	11.45038168	43.63636364	70.83333333	42.59259259
NotBurntOut	14.70588235	9.160305344	54.54545455	43.75	50
NotBurntOut	20	20.61068702	70.90909091	68.75	68.51851852
NotBurntOut	16.47058824	19.08396947	52.72727273	62.5	38.88888889
NotBurntOut	7.647058824	13.74045802	34.54545455	79.16666667	24.07407407
NotBurntOut	18.23529412	6.870229008	60	56.25	48.14814815
NotBurntOut	7.058823529	9.923664122	32.72727273	52.08333333	55.55555556
